n,insert_time,find_time,delete_time,bst_height,avl_height,height_diff
100,0.000171661376953125,0.00011801719665527344,0.0001399517059326172,13,6,7
1000,0.0030117034912109375,0.0021712779998779297,0.002537250518798828,20,9,11
5000,0.01741814613342285,0.014828205108642578,0.01553201675415039,27,12,15
